Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Gender]	Term Source REF	Term Accession Number	Factor Value[Group]	Term Source REF	Term Accession Number	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Biological Replicate]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time (Hrs)]	Unit	Term Source REF	Term Accession Number	Factor Value[Time (Days)]	Unit	Term Source REF	Term Accession Number
PS__AZ_137	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_137	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			51						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_110	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_110	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			62						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_86	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_86	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_99	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_99	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			46						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_132	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_132	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			55						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC18	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC18																							
PS__AZ_113	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_113	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			63						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_85	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_85	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_126	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_126	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			46						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC19	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC19																							
PS__AZ_70	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_70	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			47						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_124	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_124	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			65						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_62	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_62	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_81	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_81	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			65						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC20	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC20																							
PS__AZ_100	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_100	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			55						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_104	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_104	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			48						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_77	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_77	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			69						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_89	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_89	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			61						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_117	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_117	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			51						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC21	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC21																							
PS__AZ_119	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_119	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			53						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_107	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_107	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			64						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_109	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_109	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_71	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_71	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			65						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC22	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC22																							
PS__AZ_138	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_138	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			52						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_103	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_103	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			49						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_76	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_76	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			62						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC23	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC23																							
PS__AZ_84	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_84	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_97	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_97	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			61						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_72	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_72	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_101	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_101	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			53						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC24	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC24																							
PS__AZ_90	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_90	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			49						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_135	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_135	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			54						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_112	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_112	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			50						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC25	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC25																							
PS__AZ_80	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_80	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			69						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_108	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_108	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			66						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC26	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC26																							
PS__QC27	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC27																							
PS__Extract_blank_end	blank			blank			blank			Sample collection	PS__Extract_blank_end																							
PS__AZ_85_SUN_Serum_1	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_85_SUN_Serum_1	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91_SUN_Serum_1	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91_SUN_Serum_1	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			53						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91_SUN_Serum_2	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91_SUN_Serum_2	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			53						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91_SUN_Serum_3	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91_SUN_Serum_3	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			53						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120_SUN_Serum_1	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120_SUN_Serum_1	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			55						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120_SUN_Serum_2	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120_SUN_Serum_2	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			55						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120_SUN_Serum_3	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120_SUN_Serum_3	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			55						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC01	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC01																							
PK__QC02	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC02																							
PK__QC03	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC03																							
PK__QC04	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC04																							
PK__Extract_blank_start	blank			blank			blank			Sample collection	PK__Extract_blank_start																							
PK__QC05	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC05																							
PK__QC06_MSMS	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC06_MSMS																							
PK__QC07_MSMS	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC07_MSMS																							
PK__QC08_MSMS	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC08_MSMS																							
PK__QC09	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC09																							
PK__QC10	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC10																							
PK__AZ_13	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_13	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			43						KU60648							2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_21	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_21	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	1			30						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_54	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_54	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	2			32						KU60648							1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC11	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC11																							
PK__AZ_26	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_26	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			42						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_47	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_47	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	1			28						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_17	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_17	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			39						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC12	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC12																							
PK__AZ_41	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_41	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	1			29						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_27	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_27	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	1			26						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_34	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_34	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			38						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC13	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC13																							
PK__AZ_16	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_16	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			41						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_37	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_37	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			40						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_11	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_11	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			36						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC14	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PK__QC14																							
PK__AZ_08	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_08	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			41						KU60648							2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_32	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_32	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	1			27						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
